Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
12,Kyle Soller,"July 1, 1983",5′ 10″ (1.78 m),"['Actor', 'Soundtrack']",1 win & 2 nominations,Anna Karenina (2012),"Bridgeport, Connecticut, USA"
13,Leonardo DiCaprio,"November 11, 1974",6′ (1.83 m),"['Producer', 'Actor', 'Writer']",102 wins & 262 nominations total,Inception (2010),"Hollywood, Los Angeles, California, USA"
14,Richard Roundtree,"July 9, 1942",6′ 2″ (1.88 m),"['Actor', 'Soundtrack']",3 wins & 5 nominations,Shaft (1971),"New Rochelle, New York, USA"
15,Brie Larson,"October 1, 1989",5′ 6¾″ (1.70 m),"['Actress', 'Producer', 'Director']",66 wins & 68 nominations total,Room (2015),"Sacramento, California, USA"
16,Katie Parker,"January 5, 1986",5′ 9″ (1.75 m),['Actress'],7 wins & 1 nomination,Absentia (2011),"Virginia, USA"
17,Jacob Fortune-Lloyd,"January 18, 1988",5′ 9″ (1.75 m),['Actor'],,Star Wars: Episode IX - The Rise of Skywalker (2019),"Hillingdon, London, England, UK"
18,Bruce Greenwood,"August 12, 1956",5′ 11½″ (1.82 m),"['Actor', 'Producer', 'Soundtrack']",7 wins & 21 nominations,Star Trek (2009),"Noranda, Québec, Canada"
19,Mary Elizabeth Winstead,"November 28, 1984",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Soundtrack']",4 wins & 24 nominations,10 Cloverfield Lane (2016),"Rocky Mount, North Carolina, USA"
20,Katie Aselton,"October 1, 1978",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Director']",,The Freebie (2010),"Milbridge, Maine, USA"
21,Emily Blunt,"February 23, 1983",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Additional Crew']",22 wins & 113 nominations total,Edge of Tomorrow (2014),"Roehampton, London, England, UK"
22,Samantha Sloyan,"January 4, 1979",,"['Actress', 'Producer', 'Additional Crew']",6 nominations,Midnight Mass (2021– ),"Los Angeles County, California, USA"
23,Sydney Sweeney,"September 12, 1997",5′ 3½″ (1.61 m),"['Actress', 'Producer']",4 wins & 15 nominations total,Euphoria (2019–2025),"Spokane, Washington, USA"
24,Hayley Atwell,"April 5, 1982",5′ 6½″ (1.69 m),"['Actress', 'Soundtrack']",15 nominations,Captain America: The First Avenger (2011),"London, England, UK"
25,Inbar Lavi,"October 27, 1986",5′ 3″ (1.60 m),"['Actress', 'Soundtrack']",1 win,Imposters (2017–2018),"Ramat Gan, Israel"
26,Synnove Karlsen,"July 30, 1996",5′ 5¾″ (1.67 m),['Actress'],,Last Night in Soho (2021),"Glasgow, Scotland, UK"
27,Mia Goth,"October 25, 1993",5′ 9¾″ (1.77 m),"['Actress', 'Producer', 'Writer']",7 wins & 35 nominations,Pearl (2022),"Southwark, London, England, UK"
28,Jesse Plemons,"April 2, 1988",5′ 10″ (1.78 m),"['Actor', 'Music Department', 'Producer']",5 wins & 42 nominations total,The Irishman (2019),"Dallas, Texas, USA"
29,Stephen Graham,"August 3, 1973",5′ 6″ (1.68 m),"['Actor', 'Producer', 'Writer']",13 wins & 21 nominations total,Boiling Point (2021),"Liverpool, Merseyside, England, UK"
30,Henry Thomas,"September 9, 1971",5′ 11″ (1.80 m),"['Actor', 'Producer', 'Composer']",3 wins & 9 nominations total,E.T. the Extra-Terrestrial (1982),"San Antonio, Texas, USA"
31,Elizabeth Lail,"March 25, 1992",5′ 8″ (1.73 m),['Actress'],1 nomination,Five Nights at Freddy's (2023),"Williamson County, Texas, USA"
32,Laura Benanti,"July 15, 1979",5′ 8″ (1.73 m),"['Actress', 'Producer']",2 nominations,Life & Beth (2022– ),"New York City, New York, USA"
33,Kiernan Shipka,"November 10, 1999",5′ 2″ (1.57 m),"['Actress', 'Music Department', 'Producer']",9 wins & 23 nominations,Carriers (2009),"Chicago, Illinois, USA"
